0; -24.4489;
1; -89.9978;
2; -89.9998;
3; -89.6356;
4; -89.9998;
5; -89.9998;
6; -89.9998;
7; -89.9998;
8; -89.9998;
9; -89.9998;
10; -89.9998;
11; -89.9998;
12; -89.9998;
13; -89.9998;
14; -89.9998;
15; -89.9998;
16; -89.9998;
17; -89.9998;
18; -89.9998;
19; -89.9998;
20; -89.9998;
21; -89.9998;
22; -89.9998;
23; -89.9998;
24; -89.9998;
25; -89.9998;
26; -89.9998;
27; -89.9998;
28; -89.9998;
29; -89.9998;
30; -89.9998;
31; -89.9998;
32; -89.9998;
33; -89.9998;
34; -89.9998;
35; -89.9998;
36; -89.9998;
37; -89.9998;
38; -89.9998;
39; -89.9998;
40; -89.9998;
41; -89.9998;
42; -89.9998;
43; -89.9998;
44; -89.9998;
45; -89.9998;
46; -89.9998;
47; -89.9998;
48; -89.9998;
49; -89.9998;
50; -89.9998;
51; -89.9998;
52; -89.9998;
53; -89.9998;
54; -89.9998;
55; -89.9998;
56; -89.9998;
57; -89.9998;
58; -89.9998;
59; -89.9998;
60; -89.9998;
61; -89.9998;
62; -89.9998;
